LShoulderPitch,LShoulderRoll,LElbowYaw,LElbowRoll,RShoulderPitch,RShoulderRoll,RElbowYaw,RElbowRoll,LWristYaw,RWristYaw,HeadPitch,HeadYaw,LHand,RHand
1.409053922,0.191467717,-1.174235106,-0.436217636,1.409125566,-0.190324068,1.174440265,0.442454755,0.088383734,0.105885498,-0.169997424,0,0.301428825,0.300714403
1.413299918,0.200886995,-1.190154672,-0.430529535,1.41782558,-0.202598482,1.193641782,0.430228323,0.094111197,0.100813746,-0.169929624,0,0.312399805,0.306199908
1.399289966,0.206762105,-1.208021641,-0.427021056,1.426157832,-0.205584928,1.198735237,0.424349517,0.097014695,0.093984455,-0.169674143,0,0.333168119,0.31658408
1.329349637,0.207591772,-1.224746585,-0.430950314,1.429188967,-0.204655394,1.201213956,0.418914974,0.098486617,0.084264226,-0.169105753,0,0.362509131,0.331254572
1.25225687,0.202892542,-1.247345567,-0.440628678,1.430562973,-0.200269267,1.202440381,0.413453996,0.099232793,0.071355961,-0.168099388,0,0.399198145,0.349599093
1.127871394,0.195775315,-1.281909704,-0.469381422,1.430509806,-0.192884102,1.203085423,0.407779932,0.099723078,0.04635559,-0.165494785,0,0.465330213,0.382665128
0.918873549,0.189307705,-1.349933267,-0.514966726,1.428303599,-0.177689746,1.20358777,0.398910642,0.09985961,0.026471738,-0.16284585,0,0.515031338,0.407515675
0.796295345,0.187506586,-1.398866296,-0.54770726,1.425652504,-0.165255934,1.203799605,0.392739475,0.099928826,0.004567403,-0.159320921,0,0.567794144,0.433897078
0.696141064,0.186593518,-1.450298071,-0.58210206,1.42229867,-0.151738897,1.20391345,0.386484206,0.099963911,-0.018835094,-0.152117208,0,0.649999976,0.475000024
0.627920568,0.186130643,-1.503421783,-0.617619753,1.418372869,-0.137578458,1.20397222,0.377070129,0.099986963,-0.055558804,-0.145854682,0,0.705059052,0.502529502
0.594793081,0.185895994,-1.557227969,-0.653589368,1.413904071,-0.115042314,1.20405221,0.370943487,0.099993385,-0.080313712,-0.138278157,0,0.75889343,0.529446721
0.587592602,0.185741812,-1.636767626,-0.706758559,1.406473041,-0.0996494,1.204089999,0.365105987,0.099996641,-0.104634874,-0.129262447,0,0.834669769,0.56733489
0.622751057,0.185686171,-1.711379409,-0.75663203,1.398564577,-0.076895416,1.204130888,0.357190728,0.09999878,-0.139076248,-0.099467225,0,0.880084455,0.590042233
0.65448755,0.185670659,-1.756383538,-0.786714196,1.393249512,-0.062494457,1.204162598,0.35266763,0.099999376,-0.159857467,-0.011431497,0,0.919988275,0.609994113
0.689614773,0.185662806,-1.796185493,-0.813319027,1.388079405,-0.049125928,1.204202175,0.348888725,0.099999681,-0.178238869,0.072802931,0,0.953156471,0.626578212
0.723935127,0.185658827,-1.82957077,-0.835634649,1.383220077,-0.037157357,1.20425427,0.345967919,0.09999983,-0.193657815,0.084822997,0,0.978364229,0.643800139
0.753365874,0.185656816,-1.85532248,-0.852847874,1.378833413,-0.026990104,1.204330683,0.344019592,0.099999905,-0.205551714,0.056548666,0,0.998571217,0.649285614
0.773882508,0.185655788,-1.872223496,-0.864144921,1.375075936,-0.015972298,1.204519749,0.343113035,0.099999957,-0.215747923,0.03071779,0,1,0.649999976
0.787933826,0.185655117,-1.883706212,-0.871820211,1.370748401,-0.01115492,1.204685926,0.34340477,0.099999972,-0.218661338,0.009075699,0,1,0.649999976
0.791846871,0.185654938,-1.886903882,-0.873957694,1.368610144,-0.007654555,1.204856515,0.343892932,0.099999979,-0.220575616,0,0,1,0.649999976
0.793830574,0.185654834,-1.88852489,-0.875041246,1.366947532,-0.005080777,1.205015063,0.344621867,0.099999979,-0.221108705,0,0,1,0.649999976
0.794836223,0.185654789,-1.889346719,-0.875590563,1.365665197,-0.002409747,1.205214024,0.345023841,0.099999979,-0.221378952,0,0,1,0.649999976
0.795496941,0.185654745,-1.889886737,-0.875951469,1.364281178,-0.001179632,1.205318809,0.34534803,0.099999979,-0.221515954,0,0,1,0.649999976
0.79568094,0.185654745,-1.89003706,-0.876051962,1.363626003,-0.00025772,1.20540309,0.345602423,0.099999979,-0.221585408,0,0,1,0.649999976
0.795774221,0.185654745,-1.890135884,-0.876118004,1.362926126,0.000713537,1.205497503,0.345879048,0.099999979,-0.22163105,0,0,1,0.649999976
0.795835495,0.185654745,-1.890163422,-0.876136363,1.362597227,0.00116534,1.20554328,0.346010029,0.099999979,-0.221643761,0,0,1,0.649999976
0.795852542,0.185654745,-1.890177369,-0.876148462,1.362247467,0.001642847,1.20559299,0.346149653,0.099999979,-0.221652105,0,0,1,0.649999976
0.795863748,0.185654745,-1.890186548,-0.87615186,1.362083673,0.001865452,1.205616713,0.34621501,0.099999979,-0.22165443,0,0,1,0.649999976
0.795866907,0.185654745,-1.890189052,-0.876153588,1.361959934,0.002033278,1.205634713,0.346264333,0.099999979,-0.221655607,0,0,1,0.649999976
